epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.406,0.84844,4.69995,1.37278,0.30313,0.2127,0.14424,0.0849,1.22624,3.04228,1.74791,0.00998952,0.00332984,0.00998952,0.00332984,0.00998952,0.00332984,0.00998952,0.00332984
2,264.397,1.04283,4.05659,1.50922,0.17829,0.20611,0.10273,0.051,1.40382,3.51685,2.06207,0.0197421,0.00658072,0.0197421,0.00658072,0.0197421,0.00658072,0.0197421,0.00658072
3,385.981,1.22599,3.66057,1.64925,0.23642,0.13374,0.06,0.03135,1.55495,3.45561,2.21814,0.0292473,0.00974909,0.0292473,0.00974909,0.0292473,0.00974909,0.0292473,0.00974909
4,500.368,1.30195,3.41504,1.70135,0.43069,0.17361,0.12005,0.08541,1.36488,3.21093,2.00506,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,604.579,1.22569,3.17287,1.6322,0.26732,0.24457,0.17268,0.11557,1.26259,2.79825,1.81493,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,715.081,1.15306,2.97103,1.57176,0.39418,0.2585,0.21804,0.14829,1.26861,2.59329,1.77145,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,836.402,1.10154,2.84186,1.53652,0.34917,0.32506,0.26478,0.18719,1.20767,2.52135,1.74035,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,952.758,1.08063,2.74529,1.51871,0.42172,0.29022,0.26547,0.18016,1.20603,2.50223,1.76207,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,1060.66,1.03454,2.63928,1.48412,0.40061,0.35494,0.28622,0.20411,1.12586,2.33835,1.66226,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,1176.38,1.02272,2.58713,1.47446,0.34305,0.36283,0.33061,0.23564,1.06556,2.22415,1.58408,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,1294.3,1.01005,2.52927,1.46566,0.40692,0.38034,0.36224,0.26136,1.01829,2.19236,1.52753,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,1411.45,0.9945,2.45694,1.44946,0.45018,0.38515,0.39056,0.28046,1.04041,2.13513,1.53573,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,1531.94,0.96058,2.36803,1.42306,0.40724,0.42647,0.41428,0.30592,0.99633,1.93341,1.49871,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,1644.31,0.95378,2.34294,1.41712,0.41956,0.41707,0.40335,0.30249,0.99336,1.94781,1.48168,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
