epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2510.08,0.78102,11.1878,0.01627,0.24348,0.26686,0.1703,0.12802,0.94262,10.5618,0.03035,0.00999476,0.00333159,0.00999476,0.00333159,0.00999476,0.00333159,0.00999476,0.00333159
2,4979.6,1.03345,4.19278,0.02261,0.47076,0.24263,0.20635,0.14157,1.20424,3.55881,0.04215,0.0197473,0.00658244,0.0197473,0.00658244,0.0197473,0.00658244,0.0197473,0.00658244
3,7464.32,1.30141,3.46781,0.02981,0.45259,0.13588,0.08278,0.04163,1.61138,3.73951,0.05445,0.0292524,0.0097508,0.0292524,0.0097508,0.0292524,0.0097508,0.0292524,0.0097508
4,10328.4,1.45809,3.54257,0.03293,0.30072,0.15647,0.09212,0.05471,1.45206,3.16578,0.04825,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,12874,1.40378,3.32356,0.03094,0.41611,0.19905,0.14509,0.09485,1.35269,3.00247,0.04474,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,15316.3,1.33501,3.19821,0.02923,0.42042,0.19927,0.18669,0.12587,1.25856,2.69884,0.04119,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,17766.6,1.30275,3.04994,0.02825,0.35187,0.31963,0.22425,0.14882,1.29876,2.51554,0.04255,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,20218.6,1.24941,2.93198,0.02695,0.39755,0.33533,0.26379,0.18372,1.16406,2.38228,0.03773,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,22673.8,1.23648,2.83296,0.02668,0.30326,0.36839,0.28119,0.20099,1.12899,2.25768,0.03602,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,25116,1.20614,2.73931,0.02588,0.29353,0.39687,0.32399,0.23781,1.10904,2.21346,0.03546,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
